objectid,parentid,title,interviewee,interviewer,date,description,subject,location,latitude,longitude,rights,rightsstatement,display_template,object_location,type,format
patricia-poole,,Interview with Patricia Poole,Patricia Poole,Clay Adkins,2026-07-19,"Oral history interview with Patricia Poole, covering NAACP-era school integration at Pulaski High School, memories of Calfee School, Clark's Chapel United Methodist Church, and favorite gospel music.","NAACP;integrated schools;youth church participation;Pulaski High School;early integration;gospel music",Pulaski VA,37.0587,-80.7734,,,transcript,/objects/patricia-poole.mp3,sound,audio/mpeg
randy-natasha-grubb,,Interview with Randy & Natasha Grubb,Randy Grubb; Natasha Grubb,Clay Adkins,2026-06-14,"Oral history interview with Randy and Natasha Grubb at First Baptist Church, covering Pulaski County Public Schools, revitalization of Pulaski, and support within the church.","Pulaski County Public Schools;revitalization of Pulaski;support within the church",Pulaski VA,37.0587,-80.7734,,,transcript,/objects/randy-natasha-grubb.mp3,sound,audio/mpeg
